Date;Bullish;Neutral
5-17-91;42,0%;32,0%
5-24-91;38,0%;39,0%
5-31-91;42,0%;35,0%
6-7-91;46,0%;37,0%
6-14-91;47,0%;31,0%
6-21-91;44,0%;40,0%
6-28-91;28,0%;37,0%
7-3-91;28,0%;39,0%
7-12-91;41,0%;39,0%
7-19-91;27,0%;51,0%
7-26-91;35,0%;42,0%
8-2-91;33,0%;36,0%
8-9-91;26,0%;45,0%
8-16-91;37,0%;33,0%
8-23-91;32,0%;36,0%
8-30-91;41,0%;40,0%
9-6-91;36,0%;31,0%
9-13-91;43,0%;39,0%
9-20-91;32,0%;48,0%
9-27-91;31,0%;38,0%
10-4-91;35,0%;30,0%
10-11-91;39,0%;37,0%
10-18-91;30,0%;31,0%
10-25-91;31,0%;36,0%
11-1-91;52,0%;12,0%
11-8-91;32,0%;36,0%
11-15-91;38,0%;33,0%
11-22-91;48,0%;32,0%
11-27-91;33,0%;27,0%
12-6-91;23,0%;32,0%
12-13-91;33,0%;36,0%
12-20-91;36,0%;30,0%
12-27-91;39,0%;29,0%
1-3-92;49,0%;20,0%
1-10-92;48,0%;27,0%
1-17-92;51,0%;21,0%
1-24-92;46,0%;25,0%
1-31-92;47,0%;26,0%
2-7-92;36,0%;39,0%
2-14-92;46,0%;28,0%
2-21-92;47,0%;25,0%
2-28-92;43,0%;36,0%
3-6-92;45,0%;29,0%
3-13-92;38,0%;35,0%
3-20-92;48,0%;29,0%
3-27-92;43,0%;35,0%
4-3-92;35,0%;42,0%
4-10-92;43,0%;27,0%
4-17-92;37,0%;38,0%
4-24-92;52,0%;34,0%
5-1-92;29,0%;36,0%
5-8-92;43,0%;31,0%
5-15-92;40,0%;37,0%
5-22-92;48,0%;24,0%
5-29-92;41,0%;43,0%
6-5-92;41,0%;40,0%
6-12-92;31,0%;46,0%
6-19-92;35,0%;37,0%
6-26-92;39,0%;34,0%
7-2-92;21,0%;44,0%
7-9-92;23,0%;42,0%
7-17-92;29,0%;40,0%
7-24-92;32,0%;44,0%
7-31-92;22,0%;47,0%
8-5-92;28,0%;39,0%
8-14-92;26,0%;37,0%
8-21-92;22,0%;34,0%
8-28-92;30,0%;37,0%
9-4-92;14,0%;44,0%
9-11-92;22,0%;39,0%
9-18-92;21,0%;42,0%
9-25-92;25,0%;34,0%
10-2-92;30,0%;35,0%
10-9-92;21,0%;35,0%
10-16-92;20,0%;24,0%
10-23-92;21,0%;32,0%
10-30-92;35,0%;35,0%
11-6-92;49,0%;27,0%
11-13-92;37,0%;44,0%
11-20-92;48,0%;38,0%
11-25-92;43,0%;37,0%
12-4-92;37,0%;39,0%
12-11-92;43,0%;42,0%
12-18-92;63,0%;27,0%
12-24-92;55,0%;30,0%
1-1-93;60,0%;27,0%
1-8-93;20,0%;49,0%
1-15-93;54,0%;32,0%
1-22-93;41,0%;38,0%
1-29-93;40,0%;37,0%
2-5-93;44,0%;34,0%
2-12-93;47,0%;31,0%
2-19-93;46,0%;27,0%
2-26-93;34,0%;32,0%
3-5-93;27,0%;36,0%
3-12-93;45,0%;33,0%
3-19-93;41,0%;32,0%
3-26-93;43,0%;34,0%
4-2-93;37,0%;36,0%
4-9-93;32,0%;39,0%
4-16-93;31,0%;35,0%
4-23-93;28,0%;42,0%
4-30-93;22,0%;37,0%
5-7-93;21,0%;45,0%
5-14-93;20,0%;41,0%
5-21-93;21,0%;34,0%
5-28-93;24,0%;37,0%
6-4-93;33,0%;39,0%
6-11-93;23,0%;36,0%
6-18-93;22,0%;35,0%
6-25-93;28,0%;38,0%
7-2-93;18,0%;44,0%
