Date,Open,High,Low,Close,Volume
2017-07-17,2459.5,2462.8200683594,2457.1599121094,2459.1398925781,2800580000.0
2017-07-18,2455.8798828125,2460.919921875,2450.3400878906,2460.6101074219,2974090000.0
2017-07-19,2463.8500976562,2473.830078125,2463.8500976562,2473.830078125,3063810000.0
2017-07-20,2475.5600585938,2477.6201171875,2468.4299316406,2473.4499511719,3223820000.0
2017-07-21,2467.3999023438,2472.5400390625,2465.0600585938,2472.5400390625,3066880000.0
2017-07-24,2472.0400390625,2473.1000976562,2466.3200683594,2469.9099121094,3019920000.0
2017-07-25,2477.8798828125,2481.2399902344,2474.9099121094,2477.1298828125,4116360000.0
2017-07-26,2479.9699707031,2481.6899414062,2474.9399414062,2477.830078125,3597830000.0
2017-07-27,2482.7600097656,2484.0400390625,2459.9299316406,2475.419921875,4035740000.0
2017-07-28,2469.1201171875,2473.5300292969,2464.6599121094,2472.1000976562,3302850000.0
2017-07-31,2475.9399414062,2477.9599609375,2468.5300292969,2470.3000488281,3475930000.0
2017-08-01,2477.1000976562,2478.5100097656,2471.1398925781,2476.3500976562,3470260000.0
2017-08-02,2480.3798828125,2480.3798828125,2466.4799804688,2477.5700683594,3487150000.0
2017-08-03,2476.0300292969,2476.0300292969,2468.8500976562,2472.1599121094,3662410000.0
2017-08-04,2476.8798828125,2480.0,2472.080078125,2476.830078125,3239980000.0
2017-08-07,2477.1398925781,2480.9499511719,2475.8798828125,2480.9099121094,2935130000.0
2017-08-08,2478.3500976562,2490.8701171875,2470.3200683594,2474.919921875,3347480000.0
2017-08-09,2465.3500976562,2474.4099121094,2462.080078125,2474.0200195312,3310960000.0
2017-08-10,2465.3798828125,2465.3798828125,2437.75,2438.2099609375,3635820000.0
2017-08-11,2441.0400390625,2448.0900878906,2437.8500976562,2441.3200683594,3161830000.0
2017-08-14,2454.9599609375,2468.2199707031,2454.9599609375,2465.8400878906,2824320000.0
2017-08-15,2468.6599121094,2468.8999023438,2461.6101074219,2464.6101074219,2922430000.0
2017-08-16,2468.6298828125,2474.9299316406,2463.8601074219,2468.1101074219,2956570000.0
2017-08-17,2462.9499511719,2465.0200195312,2430.0100097656,2430.0100097656,3164950000.0
2017-08-18,2427.6398925781,2440.2700195312,2420.6899414062,2425.5500488281,3426970000.0
2017-08-21,2425.5,2430.580078125,2417.3500976562,2428.3701171875,2803650000.0
2017-08-22,2433.75,2454.7700195312,2433.669921875,2452.5100097656,2780990000.0
2017-08-23,2444.8798828125,2448.9099121094,2441.419921875,2444.0400390625,2796950000.0
2017-08-24,2447.9099121094,2450.3898925781,2436.1899414062,2438.9699707031,2849680000.0
2017-08-25,2444.7199707031,2453.9599609375,2442.2199707031,2443.0500488281,2593350000.0
2017-08-28,2447.3500976562,2449.1201171875,2439.0300292969,2444.2399902344,2682920000.0
2017-08-29,2431.9399414062,2449.1899414062,2428.1999511719,2446.3000488281,2739460000.0
2017-08-30,2446.0600585938,2460.3100585938,2443.7700195312,2457.5900878906,2637780000.0
2017-08-31,2462.6499023438,2475.0100097656,2462.6499023438,2471.6499023438,3353860000.0
2017-09-01,2474.419921875,2480.3798828125,2473.8500976562,2476.5500488281,2712780000.0
2017-09-05,2470.3500976562,2471.9699707031,2446.5500488281,2457.8500976562,3502190000.0
2017-09-06,2463.830078125,2469.6398925781,2459.1999511719,2465.5400390625,3400200000.0
2017-09-07,2468.0600585938,2468.6201171875,2460.2900390625,2465.1000976562,3365780000.0
2017-09-08,2462.25,2467.1101074219,2459.3999023438,2461.4299316406,3308360000.0
2017-09-11,2474.5200195312,2488.9499511719,2474.5200195312,2488.1101074219,3293460000.0
2017-09-12,2491.9399414062,2496.7700195312,2490.3701171875,2496.4799804688,3234280000.0
2017-09-13,2493.8898925781,2498.3701171875,2492.1398925781,2498.3701171875,3371370000.0
2017-09-14,2494.5600585938,2498.4299316406,2491.3500976562,2495.6201171875,3422470000.0
2017-09-15,2495.669921875,2500.2299804688,2493.1599121094,2500.2299804688,4862970000.0
2017-09-18,2502.5100097656,2508.3200683594,2499.919921875,2503.8701171875,3204700000.0
2017-09-19,2506.2900390625,2507.8400878906,2503.1899414062,2506.6499023438,3253760000.0
2017-09-20,2506.8400878906,2508.8500976562,2496.669921875,2508.2399902344,3584570000.0
2017-09-21,2507.1599121094,2507.1599121094,2499.0,2500.6000976562,2965590000.0
2017-09-22,2497.2600097656,2503.4699707031,2496.5400390625,2502.2199707031,2877980000.0
2017-09-25,2499.3898925781,2502.5400390625,2488.0300292969,2496.6599121094,3314530000.0
2017-09-26,2501.0400390625,2503.5100097656,2495.1201171875,2496.8400878906,3070770000.0
2017-09-27,2503.3000488281,2511.75,2495.9099121094,2507.0400390625,3485070000.0
2017-09-28,2503.4099121094,2510.8100585938,2502.9299316406,2510.0600585938,3173030000.0
2017-09-29,2509.9599609375,2519.4399414062,2507.9899902344,2519.3601074219,3220260000.0
2017-10-02,2521.1999511719,2529.2299804688,2520.3999023438,2529.1201171875,3226370000.0
2017-10-03,2530.3400878906,2535.1298828125,2528.8500976562,2534.580078125,3073480000.0
2017-10-04,2533.4799804688,2540.5300292969,2531.8000488281,2537.7399902344,3020770000.0
2017-10-05,2540.8601074219,2552.5100097656,2540.0200195312,2552.0700683594,3059730000.0
2017-10-06,2547.4399414062,2549.4099121094,2543.7900390625,2549.330078125,2898270000.0
2017-10-09,2551.3898925781,2551.8200683594,2541.6000976562,2544.7299804688,2486940000.0
2017-10-10,2549.9899902344,2555.2299804688,2544.8601074219,2550.6398925781,2962610000.0
2017-10-11,2550.6201171875,2555.2399902344,2547.9499511719,2555.2399902344,2991320000.0
2017-10-12,2552.8798828125,2555.330078125,2548.3100585938,2550.9299316406,3157280000.0
2017-10-13,2555.6599121094,2557.6499023438,2552.0900878906,2553.169921875,3150470000.0
2017-10-16,2555.5700683594,2559.4699707031,2552.6398925781,2557.6398925781,2918030000.0
2017-10-17,2557.169921875,2559.7099609375,2554.6899414062,2559.3601074219,2901890000.0
2017-10-18,2562.8701171875,2564.1101074219,2559.669921875,2561.2600097656,2999320000.0
2017-10-19,2553.3898925781,2562.3601074219,2547.919921875,2562.1000976562,3019520000.0
2017-10-20,2567.5600585938,2575.4399414062,2567.5600585938,2575.2099609375,3394450000.0
2017-10-23,2578.080078125,2578.2900390625,2564.330078125,2564.9799804688,3214470000.0
2017-10-24,2568.6599121094,2572.1799316406,2565.580078125,2569.1298828125,3435660000.0
