weight;Category;Link;yahooSymbol;ISIN
40;[Nasdaq100ETFs];https://www.justetf.com/en/how-to/nasdaq-100-etfs.html;NQSE.DE;IE00BYVQ9F29
20;[Defense];https://www.justetf.com/en/how-to/invest-in-defense.html;DFEN.DE;IE000YYE6WK5
15;[Goldmines];https://www.justetf.com/en/how-to/invest-in-goldmines.html;PHYMF;IE00B4ND3602
15;[Space];https://www.justetf.com/en/how-to/invest-in-space.html;JEDG.L;IE000YU9K6K2
5;[Uranium];https://www.justetf.com/en/how-to/invest-in-uranium.html;IE000NDWFGA5.SG;IE000NDWFGA5
5;[ArtificialIntelligence];https://www.justetf.com/en/how-to/invest-in-artificial-intelligence.html;IE00BK5BCD43.SG;IE00BK5BCD43
