Date,Open,High,Low,Close,Volume,FearGreed,VIX
2021-01-06,3712.1999511719,3783.0400390625,3705.3400878906,3748.1398925781,6064110000.0,0.6995110943963896,1.1792918317444696
2021-01-07,3764.7099609375,3811.5500488281,3764.7099609375,3803.7900390625,5099160000.0,0.7872633822238937,1.0662997736535844
2021-01-08,3815.0500488281,3826.6899414062,3783.6000976562,3824.6799316406,4773040000.0,0.849943587814968,0.9725859859650098
2021-01-11,3803.1398925781,3817.8601074219,3789.0200195312,3799.6101074219,4465430000.0,0.7747273411056789,0.9232214581368788
2021-01-12,3801.6201171875,3810.7800292969,3776.5100097656,3801.1899414062,4994950000.0,0.8248715055785383,0.9374999849367215
2021-01-13,3802.2299804688,3820.9599609375,3791.5,3809.8400878906,4602510000.0,0.8374075466967532,0.9628058068379803
2021-01-14,3814.9799804688,3823.6000976562,3792.8601074219,3795.5400390625,5198480000.0,0.7997994233421085,0.9355192970020391
2021-01-15,3788.7299804688,3788.7299804688,3749.6201171875,3768.25,5369820000.0,0.7120471355146045,0.9511896736997755
2021-01-19,3781.8798828125,3804.5300292969,3780.3701171875,3798.9099121094,5014440000.0,0.7245831766328193,1.0112746424825212
2021-01-20,3816.2199707031,3859.75,3816.2199707031,3851.8500976562,4566190000.0,0.8248715055785383,0.9955824428999304
2021-01-21,3857.4599609375,3861.4499511719,3845.0500488281,3853.0700683594,4501760000.0,0.7496552588692491,0.9373082995168067
2021-01-22,3844.2399902344,3852.3100585938,3830.4099121094,3841.4699707031,5110890000.0,0.8248715055785383,0.9003265005289369
2021-01-25,3851.6799316406,3859.2299804688,3797.1599121094,3855.3601074219,7000840000.0,0.7872633822238937,0.9358215889450348
2021-01-26,3862.9599609375,3870.8999023438,3847.7800292969,3849.6201171875,6137500000.0,0.7371192177510342,0.9970279445079747
2021-01-27,3836.830078125,3836.830078125,3732.4799804688,3750.7700195312,9976520000.0,0.46132631315030714,1.2999646839150027
2021-01-28,3755.75,3830.5,3755.75,3787.3798828125,6992770000.0,0.5240065187413815,1.3994540655584005
2021-01-29,3778.0500488281,3778.0500488281,3694.1201171875,3714.2399902344,6643370000.0,0.4362542309138774,1.540341099433094
2021-02-01,3731.169921875,3784.3200683594,3725.6201171875,3773.8601074219,5436230000.0,0.44879027203209226,1.31958198081867
2021-02-02,3791.8400878906,3843.0900878906,3791.8400878906,3826.3100585938,5514090000.0,0.6869750532781748,1.1947824895220576
2021-02-03,3840.2700195312,3847.5100097656,3816.6799316406,3830.169921875,4864870000.0,0.5866867243324558,0.9580612137288608
2021-02-04,3836.6599121094,3872.419921875,3836.6599121094,3871.7399902344,4879240000.0,0.7120471355146045,0.7676123471107343
2021-02-05,3878.3000488281,3894.5600585938,3874.9299316406,3886.830078125,4879470000.0,0.7120471355146045,0.6683615786251322
2021-02-08,3892.5900878906,3915.7700195312,3892.5900878906,3915.5900878906,4648360000.0,0.661902971041745,0.639461353134521
2021-02-09,3910.4899902344,3918.3500976562,3902.6398925781,3911.2299804688,4568320000.0,0.7747273411056789,0.6423504321542509
2021-02-10,3920.7800292969,3931.5,3884.9399414062,3909.8798828125,4837070000.0,0.7496552588692491,0.7455503613291468
2021-02-11,3916.3999023438,3925.9899902344,3890.3898925781,3916.3798828125,4590960000.0,0.7872633822238937,0.8006013207740428
2021-02-12,3911.6499023438,3937.2299804688,3905.7800292969,3934.830078125,4135060000.0,0.8750156700513978,0.8462739945968477
2021-02-16,3939.6101074219,3950.4299316406,3923.8500976562,3932.5900878906,5058990000.0,0.849943587814968,0.9028818629977272
2021-02-17,3918.5,3933.6101074219,3900.4299316406,3931.330078125,4730650000.0,0.7872633822238937,0.9497516737719047
2021-02-18,3915.8601074219,3921.9799804688,3885.0300292969,3913.9699707031,4793650000.0,0.6995110943963896,1.0418192384221574
